Bigram,MI Coefficient,"(x,y)",(x),(y)
"('follow', 'me')",0.006592597015128351,7822,14093,100048
"('in', 'the')",0.006235807336656682,10639,52154,119884
"('i', 'love')",0.006117234369652757,9720,203552,23000
"('i', ""don't"")",0.0059883407187169705,9838,203552,25601
"('to', 'be')",0.0053642715322980246,8993,129057,39043
"('jackjackjohnson', 'jackgilinsky')",0.005203142322363221,4205,11129,11075
"('jcfollowparty', 'jcfollowparty')",0.005126691249245378,4364,13063,13063
"('right', 'now')",0.00474275443788897,4157,11661,16291
"('going', 'to')",0.004669365903111021,5787,9538,129057
"('i', 'want')",0.004620351664029398,7213,203552,16209
"('if', 'you')",0.004512051102271384,6860,24799,116914
"('so', 'much')",0.004499071997120647,4602,44776,9960
"('want', 'to')",0.004308432111010622,6121,16209,129057
"('luke', 'hemmings')",0.004158534304441793,2452,3513,2477
"('i', 'just')",0.0039061440464849156,8029,203552,36671
"('i', 'have')",0.0038706489907123715,7376,203552,28248
"('i', 'need')",0.0038511028102099125,5915,203552,12664
"('need', 'to')",0.0036600882973492604,5099,12664,129057
"('love', 'you')",0.00365984012706441,5755,23000,116914
"('jccaylen', 'jcfollowparty')",0.0035963491310126755,3084,9606,13063
"('please', 'follow')",0.003432701093152821,3098,11687,14093
"('i', 'am')",0.003358383790749028,4826,203552,8406
"('i', 'hate')",0.003280731351320009,4597,203552,7378
"('i', 'was')",0.00317564408083079,6011,203552,22648
"('go', 'buy')",0.003111078025250375,2754,21282,6228
"('i', ""can't"")",0.003030251147591485,4857,203552,11785
"('the', 'best')",0.002912689086187844,3571,119884,6085
"('go', 'to')",0.0028695945932410423,4835,21282,129057
"('of', 'the')",0.0028328353698596175,5958,48612,119884
"('i', 'think')",0.0027972378182046435,4420,203552,10291
"('in', 'my')",0.002717505547758588,5176,52154,77274
"('new', 'song')",0.002635632176752381,2053,8834,5501
"('feel', 'like')",0.0025737838781482486,2665,8043,33912
"('on', 'the')",0.0025564647234573032,5238,40330,119884
"('my', 'life')",0.0025545380584638976,3293,77274,10461
"('a', 'lot')",0.0025133938455848357,2768,126225,2928
"('to', 'get')",0.002491530581797972,4543,129057,24608
"('i', 'can')",0.0024913397814625465,4889,203552,20079
"('to', 'sleep')",0.002456713914300878,3499,129057,9341
"('i', 'know')",0.0024549471752659574,4639,203552,17407
"(""i'm"", 'not')",0.002447988297688703,3452,40772,28241
"('voy', 'a')",0.00241091149829125,2777,3529,126225
"('for', 'the')",0.0024010478696477582,5110,42781,119884
"('have', 'a')",0.0023706352883676118,4534,28248,126225
"('happy', 'birthday')",0.0023344955999887273,1721,7745,3764
"('lo', 'que')",0.002316493424737253,2750,11065,44896
"('but', 'i')",0.0023128356585647896,5367,31659,203552
"('jackgilinsky', 'jackjackjohnson')",0.0022882833153096507,2105,11075,11129
"('thank', 'you')",0.0022356466504142147,2592,3650,116914
"('hemmings', 'from')",0.0022296085445781084,1657,2477,11915
"('the', 'same')",0.002219522481390308,2694,119884,4420
"('i', 'feel')",0.0022036560536704843,3475,203552,8043
"('have', 'to')",0.0021758997397260966,4297,28248,129057
"('on', 'my')",0.002161311076200763,4083,40330,77274
"('trying', 'to')",0.0020515224889910283,2391,3114,129057
"('this', 'is')",0.0020469625274344787,3530,33220,64272
"('out', 'of')",0.002042168294615199,2824,18168,48612
"('doing', 'it')",0.00203884476651555,2271,5440,58432
"('when', 'i')",0.0020286341991749466,4314,21235,203552
"('to', 'go')",0.0020201593727541445,3752,129057,21282
"(""don't"", 'know')",0.002009438376251233,2402,25601,17407
"('it', 'was')",0.0019956466794464316,3058,58432,22648
"('would', 'be')",0.0019133168641320291,2211,9202,39043
"('i', 'miss')",0.0018955905581944771,2751,203552,4945
"('if', 'i')",0.001868879534188196,4292,24799,203552
"('the', 'world')",0.001829769213196685,2271,119884,4051
"('i', 'wish')",0.0018031194913021697,2568,203552,4346
"('i', 'wanna')",0.0017444863821008062,2890,203552,7698
"('you', 'are')",0.0017425957040321954,3420,116914,24460
"('and', 'i')",0.0017272036633673078,6284,76045,203552
"('wake', 'up')",0.0017086836597921837,1401,1694,26306
"('to', 'do')",0.0016867742286467062,3535,129057,26584
"('will', 'be')",0.0016808197455445563,2115,12186,39043
"('when', 'you')",0.0016565950902397567,3165,21235,116914
"('you', 'know')",0.0016548411226886656,2987,116914,17407
"('i', 'got')",0.0016481712843236134,3178,203552,12520
"('are', 'you')",0.001645790319070575,3286,24460,116914
"('te', 'amo')",0.0016382779936049013,1290,13678,2379
"('it', 'right')",0.0016305084279549487,2237,58432,11661
"(""i've"", 'been')",0.0016063459181655819,1305,4895,8050
"('more', 'than')",0.0015834835430605628,1347,9048,5800
"(""can't"", 'wait')",0.0015646136087907197,1314,11785,4051
"('talk', 'to')",0.001548431778465187,2076,4531,129057
"('of', 'my')",0.0015466597643177139,3430,48612,77274
"('do', 'you')",0.001536825946883415,3215,26584,116914
"('no', 'se')",0.0015111619210368835,2079,47225,13534
"('i', 'could')",0.0014980060326128582,2355,203552,5402
"('too', 'much')",0.001495408588862643,1458,11372,9960
"('at', 'least')",0.0014884560896503815,1165,20967,1353
"('know', 'what')",0.0014863832365762048,1838,17407,22272
"('one', 'of')",0.0014549610504578005,2155,17292,48612
"('i', 'really')",0.0014444629837426603,2871,203552,12147
"('you', 'can')",0.001438881968585768,2819,116914,20079
"('free', 'agency')",0.0014387743396844267,838,3031,891
"('is', 'the')",0.0014354736626643412,4222,64272,119884
"('let', 'me')",0.0014325105037240927,1906,5227,100048
"('my', 'phone')",0.0014236238436512512,1689,77274,3939
"('a', 'good')",0.0014207477553862516,2617,126225,14868
"('en', 'el')",0.0014094710290845417,1522,11768,15892
